3712	2186
3712	4355
3712	11110
3712	3738
3712	5300
3712	5315
3712	6213
3712	6386
3712	7187
3712	8038
3712	10424
3712	10699
3712	11269
3712	138
3712	178
3712	179
3712	180
3712	183
3712	199
3712	227
3712	594
3712	937
3712	1634
3712	1917
3712	1926
4809	3712
4809	10237
4809	12187
4809	13620
4809	13746
4809	13934
4809	15226
4809	74
4809	700
4809	1253
4809	1583
4809	1779
4809	3129
4809	3268
4809	4355
4809	4411
4809	4584
4809	5564
4809	5676
4809	5833
4809	5934
4809	6234
4809	7640
4809	10198
4809	10221
4809	10415
4809	10443
4809	10510
4809	10533
4809	10599
4809	11110
4809	11197
4809	11548
4809	11638
4809	11824
4809	12143
4809	12171
4809	12211
4809	12220
4809	12252
4809	12262
4809	12313
4809	12373
4809	12576
4809	13046
4809	13065
4809	13676
4809	13740
4809	15567
4809	15794
4809	15867
4809	1808
4809	2734
4809	2834
4809	3485
4809	3542
4809	3561
4809	3574
4809	3629
4809	3661
4809	3723
4809	3747
4809	3752
4809	3782
4809	3959
4809	4145
4809	4150
4809	4168
4809	4238
4809	4449
4809	4768
4809	4841
4809	4935
4809	4954
4809	5327
4809	5453
4809	5483
4809	5663
4809	5682
4809	5770
4809	5788
4809	5821
4809	5870
4809	5924
4809	5958
4809	6011
4809	6017
4809	6020
4809	6065
4809	6183
4809	6208
4809	6211
4809	6213
4809	6217
4809	6223
4809	6237
4809	6294
4809	6331
4809	6337
4809	6367
4809	6418
4809	6528
4809	6531
4809	6590
4809	6624
4809	6731
4809	6832
4809	7121
4809	7186
4809	7187
4809	7207
4809	7223
4809	7268
4809	7281
4809	7290
4809	7350
4809	7365
4809	7409
4809	7412
4809	7424
4809	7438
4809	7442
4809	7480
4809	7484
4809	7527
4809	7556
4809	7647
4809	7815
4809	7900
4809	7911
4809	7923
4809	7970
4809	8038
4809	8044
4809	8057
4809	8061
4809	8070
4809	8102
4809	8172
4809	8188
4809	8203
4809	8221
4809	10245
4809	10252
4809	10256
4809	10261
